"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"98","334.1191916147734","233.34362190173317","4.774668109647656","-0.31129479497146767","0.025634765625","0.02587890625","0.025390625","1216","0.0002220921474871075","0","0.0002220921474871075","0.0002220921474871075","98_91:0.009245322596316052","98_91:533.3333333333333","true"
"99","304.9758539803978","218.54882601703517","4.832453110279501","-0.3102128571403012","0.01318359375","0.01025390625","0.01611328125","1216","0.00021845704124210343","0","0.00021845704124210343","0.00021845704124210343","99_100:0.007657807932276273;99_98:0.007663006656801474","99_100:533.3333333333333;99_98:533.3333333333333","true"
"100","265.1487362639523","285.3995617361362","4.648618859829437","-0.31432473968171126","0.007568359375","0.0068359375","0.00830078125","1216","0.00031124321729448785","0","0.00031124321729448785","0.00031124321729448785","","","true"
"101","213.21586664284604","72.35569417364067","4.844085348341677","-0.31062354929050423","0.009521484375","0.01025390625","0.0087890625","1216","0.0002186422147695017","0","0.0002186422147695017","0.0002186422147695017","101_100:0.0060691120346864635;101_102:0.006910614809844673","101_100:533.3333333333333;101_102:533.3333333333333","true"
"102","204.85164766012792","176.6161922041682","4.786654241299284","-0.31093198650261733","0.05419921875","0.05322265625","0.05517578125","1216","0.0002551088090903764","0","0.0002551088090903764","0.0002551088090903764","102_103:0.007756833890254555","102_103:533.3333333333333","true"
"103","269.490072416383","136.47586644397748","4.694680313275072","-0.31225904514446806","0.006591796875","0.00537109375","0.0078125","1216","0.00020879384843208547","0","0.00020879384843208547","0.00020879384843208547","","","true"
"104","217.21228877743698","222.36118671217835","4.78380447468879","-0.3122310065044028","0.0263671875","0.0439453125","0.0087890625","1216","0.00027603379246535545","0","0.00027603379246535545","0.00027603379246535545","104_103:0.006914257322750361","104_103:533.3333333333333","true"
"105","254.53365961882656","33.586664518484945","4.883440225499363","-0.30991690927064675","0.01171875","0.013671875","0.009765625","1216","0.0001954168649303157","0","0.0001954168649303157","0.0001954168649303157","105_104:0.006957314941631154","105_104:533.3333333333333","true"
"106","239.52271262339238","260.2593116937413","4.7747477494085775","-0.31270542930455303","0.01953125","0.0234375","0.015625","1216","0.00015808208093302036","0","0.00015808208093302036","0.00015808208093302036","106_105:0.0054100983037355665","106_105:533.3333333333333","true"
"107","201.2366185283743","184.45183758097394","4.985851293149908","-0.307441695251335","0.0126953125","0.01513671875","0.01025390625","1216","0.00023417343014717562","0","0.00023417343014717562","0.00023417343014717562","107_106:0.007535163699910086;107_108:0.008226429984283634","107_106:533.3333333333333;107_108:533.3333333333333","true"
"108","217.04134335018117","106.81585332148597","4.857636547961803","-0.3093687563471741","0.008056640625","0.0107421875","0.00537109375","1216","0.0004333236650366968","0","0.0004333236650366968","0.0004333236650366968","","","true"
